# time  created  delivered  delivered/created
264851.0000 186 0 0.0000
264881.0000 187 0 0.0000
264912.0000 188 0 0.0000
264943.0000 189 0 0.0000
264974.0000 190 0 0.0000
265004.0000 191 0 0.0000
265034.0000 192 0 0.0000
265065.0000 193 0 0.0000
265095.0000 194 0 0.0000
265125.0000 195 0 0.0000
265156.0000 196 0 0.0000
265186.0000 197 0 0.0000
265216.0000 198 0 0.0000
265247.0000 199 0 0.0000
265277.0000 200 0 0.0000
265307.0000 201 0 0.0000
265337.0000 202 0 0.0000
265368.0000 203 0 0.0000
265398.0000 204 0 0.0000
265428.0000 205 0 0.0000
265459.0000 206 0 0.0000
265490.0000 207 0 0.0000
265520.0000 208 0 0.0000
265550.0000 209 0 0.0000
265580.0000 210 0 0.0000
265611.0000 211 0 0.0000
265641.0000 212 0 0.0000
265672.0000 213 0 0.0000
265703.0000 214 0 0.0000
265733.0000 215 0 0.0000
265763.0000 216 0 0.0000
265794.0000 217 0 0.0000
265825.0000 218 0 0.0000
265855.0000 219 0 0.0000
265855.2000 219 1 0.0046
265885.0000 220 1 0.0045
265915.0000 221 1 0.0045
265945.0000 222 1 0.0045
265975.0000 223 1 0.0045
266005.0000 224 1 0.0045
266035.0000 225 1 0.0044
266065.0000 226 1 0.0044
266095.0000 227 1 0.0044
266126.0000 228 1 0.0044
266157.0000 229 1 0.0044
266187.0000 230 1 0.0043
266217.0000 231 1 0.0043
266248.0000 232 1 0.0043
266278.0000 233 1 0.0043
266308.0000 234 1 0.0043
266339.0000 235 1 0.0043
266369.0000 236 1 0.0042
266399.0000 237 1 0.0042
266429.0000 238 1 0.0042
266460.0000 239 1 0.0042
266491.0000 240 1 0.0042
266522.0000 241 1 0.0041
266552.0000 242 1 0.0041
266582.0000 243 1 0.0041
266613.0000 244 1 0.0041
266644.0000 245 1 0.0041
266675.0000 246 1 0.0041
266705.0000 247 1 0.0040
266735.0000 248 1 0.0040
266766.0000 249 1 0.0040
266796.0000 250 1 0.0040
266827.0000 251 1 0.0040
266858.0000 252 1 0.0040
266889.0000 253 1 0.0040
266920.0000 254 1 0.0039
266950.0000 255 1 0.0039
266981.0000 256 1 0.0039
267011.0000 257 1 0.0039
267042.0000 258 1 0.0039
267073.0000 259 1 0.0039
267104.0000 260 1 0.0038
267113.4000 260 2 0.0077
267135.0000 261 2 0.0077
267165.0000 262 2 0.0076
267196.0000 263 2 0.0076
267226.0000 264 2 0.0076
267257.0000 265 2 0.0075
267267.1000 265 3 0.0113
267287.0000 266 3 0.0113
267317.0000 267 3 0.0112
267347.0000 268 3 0.0112
267378.0000 269 3 0.0112
267409.0000 270 3 0.0111
267440.0000 271 3 0.0111
267471.0000 272 3 0.0110
267502.0000 273 3 0.0110
267533.0000 274 3 0.0109
267564.0000 275 3 0.0109
267594.0000 276 3 0.0109
267624.0000 277 3 0.0108
267655.0000 278 3 0.0108
267685.0000 279 3 0.0108
267716.0000 280 3 0.0107
267747.0000 281 3 0.0107
267778.0000 282 3 0.0106
267808.0000 283 3 0.0106
267838.0000 284 3 0.0106
267869.0000 285 3 0.0105
267899.0000 286 3 0.0105
267930.0000 287 3 0.0105
267960.0000 288 3 0.0104
267990.0000 289 3 0.0104
268020.0000 290 3 0.0103
268050.0000 291 3 0.0103
268081.0000 292 3 0.0103
268112.0000 293 3 0.0102
268143.0000 294 3 0.0102
268173.0000 295 3 0.0102
268204.0000 296 3 0.0101
268234.0000 297 3 0.0101
268264.0000 298 3 0.0101
268294.0000 299 3 0.0100
268325.0000 300 3 0.0100
268356.0000 301 3 0.0100
268386.0000 302 3 0.0099
268416.0000 303 3 0.0099
268446.0000 304 3 0.0099
268477.0000 305 3 0.0098
268507.0000 306 3 0.0098
268537.0000 307 3 0.0098
268567.0000 308 3 0.0097
268597.0000 309 3 0.0097
268627.0000 310 3 0.0097
268658.0000 311 3 0.0096
268688.0000 312 3 0.0096
268718.0000 313 3 0.0096
268749.0000 314 3 0.0096
268780.0000 315 3 0.0095
268811.0000 316 3 0.0095
268842.0000 317 3 0.0095
268872.0000 318 3 0.0094
268903.0000 319 3 0.0094
268933.0000 320 3 0.0094
268963.0000 321 3 0.0093
268994.0000 322 3 0.0093
269024.0000 323 3 0.0093
269055.0000 324 3 0.0093
269086.0000 325 3 0.0092
269117.0000 326 3 0.0092
269148.0000 327 3 0.0092
269178.0000 328 3 0.0091
269208.0000 329 3 0.0091
269238.0000 330 3 0.0091
269269.0000 331 3 0.0091
269299.0000 332 3 0.0090
269330.0000 333 3 0.0090
269361.0000 334 3 0.0090
269392.0000 335 3 0.0090
269423.0000 336 3 0.0089
269454.0000 337 3 0.0089
269485.0000 338 3 0.0089
269515.0000 339 3 0.0088
269545.0000 340 3 0.0088
269576.0000 341 3 0.0088
269606.0000 342 3 0.0088
269637.0000 343 3 0.0087
269668.0000 344 3 0.0087
269699.0000 345 3 0.0087
269729.0000 346 3 0.0087
269760.0000 347 3 0.0086
269790.0000 348 3 0.0086
269821.0000 349 3 0.0086
269852.0000 350 3 0.0086
269883.0000 351 3 0.0085
269913.0000 352 3 0.0085
269943.0000 353 3 0.0085
269974.0000 354 3 0.0085
270004.0000 355 3 0.0085
270034.0000 356 3 0.0084
270065.0000 357 3 0.0084
270095.0000 358 3 0.0084
270126.0000 359 3 0.0084
270130.7000 359 4 0.0111
270157.0000 360 4 0.0111
270188.0000 361 4 0.0111
270218.0000 362 4 0.0110
270249.0000 363 4 0.0110
270280.0000 364 4 0.0110
270311.0000 365 4 0.0110
270341.0000 366 4 0.0109
270371.0000 367 4 0.0109
270402.0000 368 4 0.0109
270433.0000 369 4 0.0108
270464.0000 370 4 0.0108
270494.0000 371 4 0.0108
270525.0000 372 4 0.0108
270556.0000 373 4 0.0107
270587.0000 374 4 0.0107
270618.0000 375 4 0.0107
270648.0000 376 4 0.0106
270679.0000 377 4 0.0106
270681.3000 377 5 0.0133
270710.0000 378 5 0.0132
270741.0000 379 5 0.0132
270771.0000 380 5 0.0132
270802.0000 381 5 0.0131
270833.0000 382 5 0.0131
270864.0000 383 5 0.0131
270894.0000 384 5 0.0130
270924.0000 385 5 0.0130
270955.0000 386 5 0.0130
270985.0000 387 5 0.0129
271016.0000 388 5 0.0129
271046.0000 389 5 0.0129
271076.0000 390 5 0.0128
271107.0000 391 5 0.0128
271138.0000 392 5 0.0128
271169.0000 393 5 0.0127
271199.0000 394 5 0.0127
271229.0000 395 5 0.0127
271260.0000 396 5 0.0126
271290.0000 397 5 0.0126
271321.0000 398 5 0.0126
271351.0000 399 5 0.0125
271381.0000 400 5 0.0125
271411.0000 401 5 0.0125
271441.0000 402 5 0.0124
271472.0000 403 5 0.0124
271502.0000 404 5 0.0124
271533.0000 405 5 0.0123
271563.0000 406 5 0.0123
271594.0000 407 5 0.0123
271625.0000 408 5 0.0123
271656.0000 409 5 0.0122
271687.0000 410 5 0.0122
271717.0000 411 5 0.0122
271748.0000 412 5 0.0121
271779.0000 413 5 0.0121
271810.0000 414 5 0.0121
271840.0000 415 5 0.0120
271870.0000 416 5 0.0120
271900.0000 417 5 0.0120
271930.0000 418 5 0.0120
271960.0000 419 5 0.0119
271991.0000 420 5 0.0119
272021.0000 421 5 0.0119
272051.0000 422 5 0.0118
272081.0000 423 5 0.0118
272112.0000 424 5 0.0118
272143.0000 425 5 0.0118
272174.0000 426 5 0.0117
272204.0000 427 5 0.0117
272235.0000 428 5 0.0117
272265.0000 429 5 0.0117
272295.0000 430 5 0.0116
272325.0000 431 5 0.0116
272356.0000 432 5 0.0116
272387.0000 433 5 0.0115
272418.0000 434 5 0.0115
272449.0000 435 5 0.0115
272480.0000 436 5 0.0115
272511.0000 437 5 0.0114
272542.0000 438 5 0.0114
272573.0000 439 5 0.0114
272604.0000 440 5 0.0114
272634.0000 441 5 0.0113
272665.0000 442 5 0.0113
272695.0000 443 5 0.0113
272725.0000 444 5 0.0113
272755.0000 445 5 0.0112
272786.0000 446 5 0.0112
272816.0000 447 5 0.0112
272846.0000 448 5 0.0112
272877.0000 449 5 0.0111
272908.0000 450 5 0.0111
272939.0000 451 5 0.0111
272969.0000 452 5 0.0111
272999.0000 453 5 0.0110
273030.0000 454 5 0.0110
273061.0000 455 5 0.0110
273092.0000 456 5 0.0110
273123.0000 457 5 0.0109
273154.0000 458 5 0.0109
273184.0000 459 5 0.0109
273215.0000 460 5 0.0109
273245.0000 461 5 0.0108
273276.0000 462 5 0.0108
273307.0000 463 5 0.0108
273337.0000 464 5 0.0108
273367.0000 465 5 0.0108
273397.0000 466 5 0.0107
273428.0000 467 5 0.0107
273459.0000 468 5 0.0107
273490.0000 469 5 0.0107
273521.0000 470 5 0.0106
273550.3000 470 6 0.0128
273552.0000 471 6 0.0127
273582.0000 472 6 0.0127
273612.0000 473 6 0.0127
273642.0000 474 6 0.0127
273672.0000 475 6 0.0126
273702.0000 476 6 0.0126
273732.0000 477 6 0.0126
273762.0000 478 6 0.0126
273793.0000 479 6 0.0125
273824.0000 480 6 0.0125
273854.0000 481 6 0.0125
273884.0000 482 6 0.0124
273914.0000 483 6 0.0124
273944.0000 484 6 0.0124
273975.0000 485 6 0.0124
274006.0000 486 6 0.0123
274036.0000 487 6 0.0123
274066.0000 488 6 0.0123
274096.0000 489 6 0.0123
274127.0000 490 6 0.0122
274158.0000 491 6 0.0122
274188.0000 492 6 0.0122
274219.0000 493 6 0.0122
274249.0000 494 6 0.0121
274279.0000 495 6 0.0121
274310.0000 496 6 0.0121
274340.0000 497 6 0.0121
274371.0000 498 6 0.0120
274402.0000 499 6 0.0120
274433.0000 500 6 0.0120
274463.0000 501 6 0.0120
274468.4000 501 7 0.0140
274493.0000 502 7 0.0139
274523.0000 503 7 0.0139
274530.7000 503 8 0.0159
274553.0000 504 8 0.0159
274573.0000 504 9 0.0179
274584.0000 505 9 0.0178
274614.0000 506 9 0.0178
274645.0000 507 9 0.0178
274675.0000 508 9 0.0177
274705.0000 509 9 0.0177
274720.1000 509 10 0.0196
274735.0000 510 10 0.0196
274766.0000 511 10 0.0196
274797.0000 512 10 0.0195
274828.0000 513 10 0.0195
274859.0000 514 10 0.0195
274889.0000 515 10 0.0194
274919.0000 516 10 0.0194
274949.0000 517 10 0.0193
274980.0000 518 10 0.0193
275010.0000 519 10 0.0193
275041.0000 520 10 0.0192
275072.0000 521 10 0.0192
275103.0000 522 10 0.0192
275134.0000 523 10 0.0191
275164.0000 524 10 0.0191
275195.0000 525 10 0.0190
275225.0000 526 10 0.0190
275255.0000 527 10 0.0190
275285.0000 528 10 0.0189
275315.0000 529 10 0.0189
275345.0000 530 10 0.0189
275376.0000 531 10 0.0188
275407.0000 532 10 0.0188
275438.0000 533 10 0.0188
275469.0000 534 10 0.0187
275500.0000 535 10 0.0187
275531.0000 536 10 0.0187
275562.0000 537 10 0.0186
275592.0000 538 10 0.0186
