# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
277048.7000 M8625 625533 2 13940.7000 p11 p14 n/a N p11->p53->p13
277048.7000 M8583 593405 2 15214.7000 p34 p6 n/a N p34->p13->p53
277176.1000 M8815 898452 5 8273.1000 p16 p86 n/a N p16->p13->p88->p41->p75->p33
277187.9000 M9061 747143 2 773.9000 p75 p71 n/a N p75->p45->p53
277187.9000 M9057 595784 2 894.9000 p75 p32 n/a N p75->p45->p53
277187.9000 M8985 507446 3 3091.9000 p86 p67 n/a N p86->p8->p45->p53
277187.9000 M8850 956896 4 7213.9000 p71 p60 n/a N p71->p26->p8->p45->p53
277226.1000 M8798 616892 3 8840.1000 p89 p32 n/a N p89->p56->p47->p93
277240.0000 M8988 743456 1 3052.0000 p2 p55 n/a N p2->p45
277269.3000 M9061 747143 3 855.3000 p75 p71 n/a N p75->p45->p13->p54
277297.2000 M8941 514275 1 4542.2000 p54 p6 n/a N p54->p53
277317.5000 M8988 743456 1 3129.5000 p2 p55 n/a N p2->p54
277354.6000 M8988 743456 1 3166.6000 p2 p55 n/a N p2->p53
277452.4000 M9093 941608 1 64.4000 p41 p49 n/a N p41->p13
277530.8000 M8566 988815 1 16215.8000 p80 p75 n/a N p80->p84
277770.7000 M8700 806362 3 12372.7000 p31 p58 n/a N p31->p71->p98->p14
277770.7000 M8669 591423 2 13316.7000 p83 p18 n/a N p83->p14->p98
277770.7000 M8523 618996 2 17772.7000 p76 p59 n/a N p76->p14->p98
277770.7000 M9029 603400 1 2332.7000 p14 p72 n/a N p14->p98
277770.7000 M8597 803891 3 15512.7000 p21 p58 n/a N p21->p6->p14->p98
278047.6000 M8753 757712 3 11036.6000 p75 p72 n/a N p75->p68->p0->p93
278276.0000 M8648 658307 2 14465.0000 p19 p27 n/a N p19->p28->p16
278276.0000 M8643 636399 3 14616.0000 p67 p26 n/a N p67->p7->p28->p16
278293.5000 M8560 770967 2 17162.5000 p51 p87 n/a N p51->p44->p50
278305.3000 M8905 867121 4 6649.3000 p70 p89 n/a N p70->p95->p23->p28->p76
278305.3000 M8989 616721 2 4086.3000 p21 p20 n/a N p21->p28->p76
278497.1000 M9061 747143 4 2083.1000 p75 p71 n/a N p75->p45->p13->p86->p0
278497.1000 M8866 894222 3 8033.1000 p48 p18 n/a N p48->p33->p86->p0
278497.1000 M8765 791536 1 11119.1000 p86 p49 n/a N p86->p0
278497.1000 M8881 798040 5 7573.1000 p71 p57 n/a N p71->p98->p73->p85->p0->p86
278515.3000 M8772 986731 4 10921.3000 p52 p73 n/a N p52->p48->p82->p77->p14
278515.3000 M8743 914054 5 11810.3000 p37 p40 n/a N p37->p33->p48->p82->p77->p14
278773.4000 M8674 569558 1 14166.4000 p87 p57 n/a N p87->p57
279181.8000 M8683 787531 3 14300.8000 p32 p9 n/a N p32->p58->p11->p35
279309.7000 M9010 953122 3 4450.7000 p3 p74 n/a N p3->p2->p16->p47
279507.1000 M9022 693479 1 4282.1000 p27 p7 n/a N p27->p7
