# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
15597.3000 M87 990325 2 12940.3000 p38 p90 n/a N p38->p19->p90
15671.5000 M77 598670 3 13317.5000 p85 p6 n/a N p85->p21->p84->p6
15723.2000 M358 627256 4 4788.2000 p30 p78 n/a N p30->p82->p14->p90->p78
15725.7000 M103 602605 5 12577.7000 p15 p78 n/a N p15->p64->p93->p27->p90->p78
16073.6000 M74 766315 3 13811.6000 p48 p64 n/a N p48->p46->p45->p64
16102.5000 M28 627290 2 15246.5000 p74 p39 n/a N p74->p28->p39
16247.3000 M31 948641 3 15298.3000 p51 p35 n/a N p51->p94->p86->p35
16255.9000 M259 561706 2 8347.9000 p82 p35 n/a N p82->p14->p35
16259.0000 M459 769861 2 2241.0000 p82 p35 n/a N p82->p14->p35
16417.4000 M256 678857 1 8599.4000 p46 p65 n/a N p46->p65
16819.0000 M153 974276 2 12144.0000 p48 p56 n/a N p48->p46->p56
17130.4000 M170 844916 5 11938.4000 p5 p79 n/a N p5->p84->p37->p28->p35->p79
17510.2000 M237 705144 4 10272.2000 p58 p51 n/a N p58->p19->p67->p7->p51
17514.1000 M54 953264 4 15863.1000 p62 p51 n/a N p62->p88->p67->p7->p51
17697.7000 M375 889477 1 6244.7000 p14 p43 n/a N p14->p43
18070.0000 M513 739122 1 2404.0000 p76 p70 n/a N p76->p70
18080.8000 M405 504659 2 5711.8000 p41 p69 n/a N p41->p94->p69
18094.8000 M329 888857 1 8044.8000 p47 p2 n/a N p47->p2
18448.8000 M331 796335 1 8337.8000 p1 p47 n/a N p1->p47
18502.6000 M368 863107 2 7261.6000 p43 p1 n/a N p43->p97->p1
18777.8000 M163 755220 2 13796.8000 p31 p81 n/a N p31->p77->p81
18789.1000 M197 736627 5 12775.1000 p6 p18 n/a N p6->p54->p99->p41->p94->p18
18836.9000 M76 892737 1 16513.9000 p48 p11 n/a N p48->p11
18860.3000 M142 878324 3 14521.3000 p61 p10 n/a N p61->p48->p37->p10
18893.6000 M79 884910 5 16479.6000 p89 p58 n/a N p89->p34->p16->p75->p90->p58
19025.7000 M210 524864 2 12613.7000 p39 p54 n/a N p39->p63->p54
19202.0000 M538 970254 2 2773.0000 p51 p37 n/a N p51->p30->p37
19386.3000 M496 936263 1 4239.3000 p18 p8 n/a N p18->p8
19497.8000 M25 982211 3 18734.8000 p55 p74 n/a N p55->p49->p23->p74
19531.9000 M274 520510 3 11161.9000 p87 p84 n/a N p87->p31->p15->p84
19719.3000 M134 871376 3 15623.3000 p47 p10 n/a N p47->p96->p99->p10
19844.8000 M503 997649 1 4482.8000 p44 p30 n/a N p44->p30
19847.1000 M189 574913 2 14075.1000 p82 p44 n/a N p82->p30->p44
19856.4000 M82 985912 5 17350.4000 p12 p15 n/a N p12->p14->p69->p18->p8->p15
19956.8000 M135 549781 4 15829.8000 p32 p8 n/a N p32->p85->p51->p1->p8
19994.6000 M322 771889 2 10159.6000 p31 p37 n/a N p31->p61->p37
20006.1000 M64 679024 3 18048.1000 p29 p17 n/a N p29->p1->p47->p17
20057.7000 M66 762094 4 18039.7000 p77 p73 n/a N p77->p19->p88->p34->p73
20172.8000 M287 866307 2 11404.8000 p34 p14 n/a N p34->p73->p14
20195.5000 M144 674617 3 15795.5000 p20 p34 n/a N p20->p55->p14->p34
20207.3000 M587 680356 2 2287.3000 p24 p61 n/a N p24->p8->p61
20356.0000 M24 559729 4 19623.0000 p16 p11 n/a N p16->p34->p99->p10->p11
20359.3000 M73 817551 7 18127.3000 p25 p11 n/a N p25->p87->p93->p64->p28->p92->p10->p11
20526.4000 M361 664301 1 9500.4000 p74 p27 n/a N p74->p27
20529.5000 M166 766358 4 15458.5000 p70 p27 n/a N p70->p92->p10->p74->p27
20749.0000 M152 903589 2 16105.0000 p59 p77 n/a N p59->p8->p77
20915.6000 M86 667043 3 18288.6000 p58 p78 n/a N p58->p82->p69->p78
21055.2000 M543 537740 1 4474.2000 p21 p81 n/a N p21->p81
21126.0000 M72 625366 4 18924.0000 p85 p45 n/a N p85->p21->p89->p93->p45
21171.1000 M208 501446 2 14821.1000 p79 p18 n/a N p79->p14->p18
21193.5000 M158 640674 2 16364.5000 p1 p16 n/a N p1->p10->p16
21238.3000 M85 821486 3 18641.3000 p59 p57 n/a N p59->p8->p95->p57
21474.1000 M535 893578 1 5137.1000 p55 p21 n/a N p55->p21
21554.2000 M13 693107 4 21156.2000 p44 p57 n/a N p44->p26->p72->p91->p57
21661.9000 M277 770451 3 13200.9000 p81 p2 n/a N p81->p13->p37->p2
21726.2000 M332 507129 2 11585.2000 p17 p55 n/a N p17->p2->p55
21794.7000 M179 767122 2 16325.7000 p31 p25 n/a N p31->p58->p25
21809.5000 M226 990073 3 14907.5000 p68 p35 n/a N p68->p5->p87->p35
21812.1000 M633 625998 1 2492.1000 p35 p87 n/a N p35->p87
21858.9000 M44 568074 3 20511.9000 p37 p0 n/a N p37->p34->p73->p0
21888.3000 M22 854050 5 21215.3000 p47 p71 n/a N p47->p96->p99->p82->p69->p71
21892.1000 M172 926578 3 16640.1000 p39 p71 n/a N p39->p20->p69->p71
21910.6000 M167 798197 3 16809.6000 p53 p61 n/a N p53->p74->p17->p61
21992.3000 M334 996432 2 11791.3000 p8 p70 n/a N p8->p91->p70
22102.8000 M177 669688 2 16695.8000 p61 p81 n/a N p61->p36->p81
22183.3000 M281 841633 3 13600.3000 p85 p64 n/a N p85->p47->p7->p64
22300.4000 M452 504386 2 8496.4000 p84 p43 n/a N p84->p72->p43
22307.5000 M120 653844 2 18640.5000 p69 p22 n/a N p69->p5->p22
22355.9000 M151 610562 2 17741.9000 p43 p66 n/a N p43->p58->p66
22619.1000 M10 863541 2 22312.1000 p16 p86 n/a N p16->p34->p86
22631.2000 M106 967044 2 19390.2000 p26 p71 n/a N p26->p52->p71
22873.7000 M526 810137 1 6811.7000 p26 p66 n/a N p26->p66
23215.0000 M117 588091 4 19639.0000 p44 p80 n/a N p44->p25->p97->p1->p80
23282.4000 M57 601479 1 21539.4000 p23 p54 n/a N p23->p54
23284.6000 M12 545086 5 22916.6000 p32 p54 n/a N p32->p85->p51->p65->p23->p54
23305.4000 M7 612010 2 23090.4000 p16 p82 n/a N p16->p48->p82
23309.1000 M109 922600 2 19977.1000 p58 p48 n/a N p58->p82->p48
23321.6000 M95 563385 2 20418.6000 p6 p29 n/a N p6->p54->p29
23362.5000 M240 508487 1 16033.5000 p80 p27 n/a N p80->p27
23395.9000 M52 891919 2 21805.9000 p72 p55 n/a N p72->p43->p55
23417.9000 M424 975438 3 10468.9000 p67 p38 n/a N p67->p7->p99->p38
23498.6000 M683 653712 2 2654.6000 p27 p90 n/a N p27->p23->p90
23728.6000 M78 861599 3 21344.6000 p53 p52 n/a N p53->p70->p69->p52
23731.5000 M674 714979 1 3164.5000 p52 p69 n/a N p52->p69
23817.2000 M155 828379 3 19081.2000 p38 p54 n/a N p38->p19->p90->p54
23911.9000 M168 635411 2 18779.9000 p80 p81 n/a N p80->p27->p81
23915.2000 M254 803308 2 16157.2000 p70 p27 n/a N p70->p81->p27
24164.4000 M188 875548 3 18422.4000 p60 p31 n/a N p60->p97->p8->p31
24351.6000 M306 716831 1 15005.6000 p3 p18 n/a N p3->p18
24404.2000 M16 875016 5 23915.2000 p24 p65 n/a N p24->p36->p87->p99->p33->p65
24453.4000 M195 737647 2 18500.4000 p59 p9 n/a N p59->p69->p9
24520.6000 M180 766653 5 19020.6000 p41 p52 n/a N p41->p10->p74->p13->p37->p52
24523.7000 M123 753044 2 20764.7000 p68 p52 n/a N p68->p37->p52
24526.5000 M721 693704 1 2523.5000 p37 p52 n/a N p37->p52
24788.9000 M162 697955 3 19837.9000 p16 p51 n/a N p16->p68->p84->p51
25035.8000 M374 582877 3 13612.8000 p67 p3 n/a N p67->p24->p1->p3
25071.4000 M60 686270 2 23236.4000 p40 p77 n/a N p40->p95->p77
25398.8000 M143 941589 4 21028.8000 p31 p89 n/a N p31->p77->p19->p11->p89
25464.9000 M67 922010 1 23415.9000 p31 p27 n/a N p31->p27
25496.8000 M502 815315 2 10164.8000 p49 p77 n/a N p49->p42->p77
25572.2000 M660 717762 1 5432.2000 p42 p51 n/a N p42->p51
25582.3000 M450 912531 1 11838.3000 p15 p51 n/a N p15->p51
25952.0000 M574 665421 1 8429.0000 p4 p10 n/a N p4->p10
25965.5000 M479 794011 4 11339.5000 p86 p13 n/a N p86->p35->p79->p55->p13
26205.1000 M148 689890 2 21683.1000 p80 p11 n/a N p80->p27->p11
26301.4000 M409 844210 2 13811.4000 p11 p9 n/a N p11->p88->p9
26609.2000 M18 640222 4 26059.2000 p32 p75 n/a N p32->p85->p2->p96->p75
26690.1000 M299 574264 5 17557.1000 p63 p66 n/a N p63->p35->p79->p69->p71->p66
26745.8000 M111 674532 4 23353.8000 p86 p56 n/a N p86->p53->p28->p34->p56
26863.1000 M40 572441 3 25638.1000 p55 p76 n/a N p55->p43->p97->p76
26866.2000 M20 773543 3 26254.2000 p10 p76 n/a N p10->p68->p97->p76
26868.7000 M83 619743 3 24332.7000 p10 p76 n/a N p10->p68->p97->p76
27009.4000 M115 753632 4 23494.4000 p75 p85 n/a N p75->p58->p31->p61->p85
27040.5000 M9 587686 2 26764.5000 p8 p30 n/a N p8->p15->p30
27080.8000 M282 507563 2 18467.8000 p46 p19 n/a N p46->p75->p19
27110.7000 M4 523257 2 26987.7000 p22 p67 n/a N p22->p10->p67
27132.3000 M264 996561 3 19070.3000 p63 p27 n/a N p63->p35->p79->p27
27135.9000 M581 885253 1 9398.9000 p27 p79 n/a N p27->p79
27139.3000 M255 843085 2 19351.3000 p90 p79 n/a N p90->p27->p79
27154.7000 M826 980779 2 1950.7000 p61 p30 n/a N p61->p11->p30
27157.8000 M380 772160 3 15551.8000 p33 p30 n/a N p33->p88->p11->p30
27311.0000 M252 993036 2 19615.0000 p55 p44 n/a N p55->p66->p44
27368.9000 M2 977273 2 27306.9000 p69 p56 n/a N p69->p55->p56
27372.1000 M150 781785 6 22788.1000 p42 p56 n/a N p42->p58->p11->p43->p35->p55->p56
27409.5000 M327 686799 3 17419.5000 p78 p67 n/a N p78->p5->p16->p67
27537.3000 M137 791808 2 23349.3000 p2 p19 n/a N p2->p96->p19
27586.6000 M701 857661 1 6194.6000 p75 p18 n/a N p75->p18
27603.9000 M373 607943 3 16210.9000 p78 p2 n/a N p78->p34->p73->p2
27705.5000 M265 731976 2 19613.5000 p43 p46 n/a N p43->p19->p46
27945.6000 M267 864355 1 19791.6000 p73 p53 n/a N p73->p53
28111.9000 M621 586875 1 9157.9000 p84 p16 n/a N p84->p16
28436.0000 M534 939683 1 12129.0000 p75 p86 n/a N p75->p86
28515.7000 M223 948504 3 21704.7000 p8 p7 n/a N p8->p95->p0->p7
28664.5000 M318 521708 4 18951.5000 p65 p32 n/a N p65->p23->p74->p95->p32
28667.9000 M187 827135 5 22955.9000 p16 p32 n/a N p16->p34->p99->p31->p95->p32
28741.9000 M568 532877 2 11399.9000 p42 p60 n/a N p42->p77->p60
28869.1000 M116 972891 6 25323.1000 p28 p8 n/a N p28->p17->p23->p74->p95->p32->p8
28932.9000 M97 595414 2 25969.9000 p57 p88 n/a N p57->p13->p88
29005.1000 M353 986239 2 18224.1000 p23 p4 n/a N p23->p49->p4
29018.3000 M204 736264 3 22790.3000 p79 p31 n/a N p79->p35->p83->p31
29115.4000 M442 677074 2 15615.4000 p12 p10 n/a N p12->p30->p10
29118.1000 M694 654166 1 7938.1000 p10 p30 n/a N p10->p30
29174.5000 M916 814111 1 1220.5000 p14 p69 n/a N p14->p69
29327.5000 M404 949056 1 16988.5000 p45 p51 n/a N p45->p51
29343.2000 M51 797770 3 27783.2000 p53 p51 n/a N p53->p74->p95->p51
29356.0000 M181 569604 2 23826.0000 p48 p22 n/a N p48->p33->p22
29400.5000 M510 699078 1 13824.5000 p32 p46 n/a N p32->p46
29447.8000 M696 669070 1 8207.8000 p5 p67 n/a N p5->p67
29469.5000 M423 806217 2 16551.5000 p52 p70 n/a N p52->p2->p70
29471.8000 M566 556813 1 12190.8000 p2 p70 n/a N p2->p70
29502.8000 M249 944555 2 21899.8000 p32 p62 n/a N p32->p8->p62
29533.4000 M161 972439 4 24612.4000 p71 p47 n/a N p71->p36->p48->p85->p47
29535.6000 M518 531116 2 13718.6000 p48 p47 n/a N p48->p85->p47
29564.0000 M528 898882 1 13440.0000 p25 p24 n/a N p25->p24
29697.2000 M795 562731 1 5439.2000 p46 p59 n/a N p46->p59
29733.8000 M269 513133 1 21517.8000 p31 p25 n/a N p31->p25
29820.9000 M38 698725 4 28656.9000 p78 p85 n/a N p78->p59->p8->p31->p85
29851.2000 M433 982219 1 16627.2000 p32 p60 n/a N p32->p60
29855.9000 M280 573971 3 21303.9000 p68 p59 n/a N p68->p5->p87->p59
29925.6000 M770 673117 1 6428.6000 p78 p37 n/a N p78->p37
29929.2000 M305 887427 3 20613.2000 p31 p78 n/a N p31->p61->p37->p78
29947.3000 M641 743286 1 10384.3000 p45 p43 n/a N p45->p43
30380.1000 M619 854935 1 11487.1000 p20 p1 n/a N p20->p1
30383.4000 M122 809157 5 26655.4000 p26 p20 n/a N p26->p72->p91->p97->p1->p20
30421.6000 M687 959756 1 9455.6000 p3 p35 n/a N p3->p35
30473.0000 M647 872747 1 10728.0000 p28 p64 n/a N p28->p64
30476.9000 M476 965406 1 15942.9000 p64 p28 n/a N p64->p28
30606.5000 M585 637568 4 12747.5000 p49 p13 n/a N p49->p23->p74->p70->p13
30678.7000 M160 795734 4 25787.7000 p6 p0 n/a N p6->p54->p99->p16->p0
30680.9000 M191 547102 3 24847.9000 p14 p0 n/a N p14->p41->p16->p0
31088.8000 M63 895682 3 29160.8000 p41 p61 n/a N p41->p10->p87->p61
31252.0000 M127 837760 2 27371.0000 p27 p46 n/a N p27->p11->p46
31370.1000 M345 547012 2 20833.1000 p82 p28 n/a N p82->p90->p28
31598.1000 M381 754888 1 19961.1000 p78 p62 n/a N p78->p62
31809.6000 M337 907849 2 21516.6000 p70 p72 n/a N p70->p13->p72
31939.2000 M512 501651 2 16303.2000 p21 p89 n/a N p21->p37->p89
31942.0000 M171 689925 1 26720.0000 p89 p37 n/a N p89->p37
32069.8000 M354 525850 6 21257.8000 p0 p71 n/a N p0->p22->p1->p13->p12->p63->p71
32210.7000 M339 812845 1 21856.7000 p77 p78 n/a N p77->p78
32230.3000 M650 878425 2 12394.3000 p58 p57 n/a N p58->p54->p57
32267.7000 M183 951280 2 26677.7000 p46 p44 n/a N p46->p71->p44
32270.2000 M128 844965 1 28358.2000 p73 p37 n/a N p73->p37
32339.6000 M758 914968 1 9209.6000 p39 p32 n/a N p39->p32
32347.6000 M744 612336 1 9640.6000 p35 p39 n/a N p35->p39
32350.5000 M418 720507 2 19585.5000 p62 p32 n/a N p62->p35->p32
32398.4000 M310 536513 1 22930.4000 p56 p30 n/a N p56->p30
32721.0000 M991 998482 1 2482.0000 p75 p72 n/a N p75->p72
32734.8000 M343 845912 2 22258.8000 p20 p72 n/a N p20->p94->p72
33020.7000 M359 734154 1 22055.7000 p6 p32 n/a N p6->p32
33158.3000 M126 736330 2 29308.3000 p20 p75 n/a N p20->p94->p75
33370.0000 M926 614747 1 5112.0000 p30 p55 n/a N p30->p55
33885.7000 M289 773714 2 25055.7000 p34 p62 n/a N p34->p73->p62
33987.5000 M159 998913 1 29127.5000 p76 p26 n/a N p76->p26
34018.2000 M319 598267 2 24275.2000 p13 p21 n/a N p13->p34->p21
34087.9000 M610 885734 1 15466.9000 p43 p44 n/a N p43->p44
34109.3000 M692 703060 2 12990.3000 p70 p16 n/a N p70->p95->p16
34242.0000 M279 668070 3 25721.0000 p4 p73 n/a N p4->p16->p7->p73
34245.0000 M213 745605 2 27740.0000 p16 p73 n/a N p16->p7->p73
34247.9000 M472 713212 1 19834.9000 p73 p7 n/a N p73->p7
34321.8000 M432 821776 2 21128.8000 p30 p34 n/a N p30->p81->p34
34324.8000 M906 741150 1 6674.8000 p34 p81 n/a N p34->p81
34391.1000 M462 899234 3 20281.1000 p44 p63 n/a N p44->p66->p43->p63
34572.9000 M1112 608357 1 636.9000 p63 p68 n/a N p63->p68
34597.8000 M599 540836 1 16312.8000 p88 p43 n/a N p88->p43
34601.2000 M469 830753 1 20279.2000 p43 p88 n/a N p43->p88
34706.5000 M193 821267 5 28813.5000 p0 p69 n/a N p0->p31->p44->p66->p43->p69
34881.7000 M911 566773 2 7079.7000 p43 p16 n/a N p43->p66->p16
34890.5000 M107 751567 3 31618.5000 p11 p44 n/a N p11->p77->p60->p44
34893.6000 M357 770608 2 23989.6000 p66 p60 n/a N p66->p44->p60
34940.7000 M99 954668 7 31915.7000 p56 p12 n/a N p56->p33->p9->p64->p15->p81->p30->p12
35148.7000 M290 802435 2 26288.7000 p46 p17 n/a N p46->p65->p17
35179.8000 M464 616438 2 21009.8000 p90 p85 n/a N p90->p54->p85
35282.4000 M367 715433 3 24072.4000 p89 p31 n/a N p89->p84->p91->p31
35287.2000 M284 971618 1 26612.2000 p11 p57 n/a N p11->p57
35333.0000 M202 769146 1 29166.0000 p40 p7 n/a N p40->p7
35454.7000 M635 849891 1 16073.7000 p54 p24 n/a N p54->p24
35457.4000 M1096 667099 1 2011.4000 p54 p24 n/a N p54->p24
35460.6000 M969 780054 1 5891.6000 p24 p54 n/a N p24->p54
35579.7000 M572 873401 2 18116.7000 p65 p10 n/a N p65->p86->p10
35631.9000 M131 880310 5 31626.9000 p11 p28 n/a N p11->p77->p31->p58->p25->p28
35635.8000 M300 969156 2 26471.8000 p53 p28 n/a N p53->p25->p28
35819.2000 M723 526316 2 13755.2000 p34 p54 n/a N p34->p43->p54
35822.5000 M810 800405 1 11106.5000 p43 p54 n/a N p43->p54
35826.3000 M919 946172 2 7781.3000 p66 p54 n/a N p66->p43->p54
35830.1000 M323 931173 4 25964.1000 p39 p54 n/a N p39->p35->p79->p43->p54
35861.7000 M487 791217 1 20988.7000 p0 p19 n/a N p0->p19
35912.8000 M350 522499 2 25224.8000 p75 p50 n/a N p75->p14->p50
36065.1000 M533 999610 1 19789.1000 p54 p62 n/a N p54->p62
36068.0000 M258 703695 2 28190.0000 p57 p62 n/a N p57->p54->p62
36271.3000 M724 817685 2 14176.3000 p68 p49 n/a N p68->p34->p49
36287.2000 M113 667772 5 32834.2000 p22 p50 n/a N p22->p13->p12->p55->p53->p50
36299.6000 M297 779063 2 27227.6000 p11 p7 n/a N p11->p15->p7
36383.0000 M594 918000 1 18251.0000 p7 p54 n/a N p7->p54
36385.8000 M536 692669 4 20017.8000 p8 p7 n/a N p8->p58->p88->p54->p7
36510.0000 M738 631947 3 13988.0000 p33 p59 n/a N p33->p65->p98->p59
36532.0000 M648 692589 2 16757.0000 p58 p84 n/a N p58->p6->p84
36535.3000 M592 671705 1 18464.3000 p62 p80 n/a N p62->p80
36540.7000 M484 950073 3 21759.7000 p53 p49 n/a N p53->p25->p6->p49
36578.2000 M383 602740 2 24879.2000 p6 p53 n/a N p6->p14->p53
36724.2000 M307 904189 1 27347.2000 p65 p59 n/a N p65->p59
36804.3000 M203 799751 2 30606.3000 p57 p76 n/a N p57->p54->p76
36806.7000 M206 584973 5 30516.7000 p5 p76 n/a N p5->p78->p53->p40->p54->p76
36867.5000 M686 735581 1 15932.5000 p85 p8 n/a N p85->p8
36939.5000 M491 864681 1 21945.5000 p85 p19 n/a N p85->p19
36962.1000 M1132 570432 1 2416.1000 p19 p78 n/a N p19->p78
36965.6000 M316 874593 2 27313.6000 p5 p19 n/a N p5->p78->p19
36968.4000 M1196 677918 1 471.4000 p78 p19 n/a N p78->p19
37009.7000 M870 729055 2 10459.7000 p81 p9 n/a N p81->p88->p9
37013.2000 M497 850334 3 21835.2000 p75 p88 n/a N p75->p90->p9->p88
37151.8000 M14 720934 2 36723.8000 p18 p1 n/a N p18->p0->p1
37344.8000 M593 894325 2 19242.8000 p15 p58 n/a N p15->p11->p58
37357.2000 M577 894402 2 19742.2000 p66 p8 n/a N p66->p43->p8
37365.8000 M681 822790 2 16583.8000 p36 p10 n/a N p36->p89->p10
37427.6000 M943 825989 1 8650.6000 p67 p6 n/a N p67->p6
37432.4000 M828 837379 3 12168.4000 p0 p43 n/a N p0->p7->p16->p43
37596.5000 M996 672441 2 7203.5000 p40 p13 n/a N p40->p54->p13
37672.0000 M154 757661 1 32966.0000 p78 p45 n/a N p78->p45
37747.5000 M130 807078 3 33773.5000 p16 p49 n/a N p16->p7->p99->p49
37751.1000 M1006 884511 3 7051.1000 p15 p49 n/a N p15->p7->p99->p49
37756.8000 M778 664629 3 14018.8000 p42 p53 n/a N p42->p7->p16->p53
37759.9000 M336 760188 2 27497.9000 p4 p53 n/a N p4->p16->p53
37762.1000 M899 541666 3 10327.1000 p87 p53 n/a N p87->p84->p16->p53
37788.2000 M438 601091 4 24409.2000 p15 p78 n/a N p15->p83->p85->p48->p78
37790.8000 M37 737538 3 36657.8000 p77 p74 n/a N p77->p11->p42->p74
37792.2000 M792 989844 2 13625.2000 p85 p78 n/a N p85->p48->p78
37794.0000 M138 794114 3 33576.0000 p41 p42 n/a N p41->p10->p74->p42
37894.7000 M670 685183 1 17448.7000 p33 p31 n/a N p33->p31
37937.5000 M455 796268 2 24042.5000 p36 p76 n/a N p36->p89->p76
37940.9000 M1216 827934 1 831.9000 p89 p76 n/a N p89->p76
