0	252	92
1	258	91
2	247	90
3	238	88
4	232	88
5	229	96
6	261	94
7	206	85
8	242	91
9	194	85
10	291	96
11	239	92
12	221	88
13	256	88
14	242	94
15	238	90
16	261	91
17	257	89
18	246	90
19	245	89
20	233	90
21	229	91
22	256	90
23	258	89
24	201	87
25	213	85
26	229	92
27	243	90
28	234	94
29	210	91
30	222	86
31	225	92
32	224	91
33	259	92
34	238	90
35	222	86
36	245	96
37	232	86
38	212	89
39	253	91
40	229	89
41	233	94
42	202	86
43	233	88
44	223	90
45	236	88
46	233	92
47	246	89
48	249	89
49	248	87
50	226	91
51	219	84
52	234	90
53	241	90
54	251	91
55	209	88
56	283	92
57	219	91
58	206	87
59	216	89
60	268	90
61	218	86
62	266	93
63	168	85
64	245	90
65	213	90
66	214	88
67	204	87
68	213	86
69	221	91
70	259	94
71	262	95
72	223	90
73	215	84
74	245	93
75	235	88
76	213	89
77	245	91
78	244	93
79	196	81
80	202	90
81	279	93
82	254	96
83	219	95
84	222	90
85	258	91
86	244	92
87	228	91
88	207	85
89	222	92
90	232	88
91	238	90
92	216	85
93	210	94
94	258	94
95	227	86
96	241	93
97	243	93
98	235	92
99	253	92
