# time  created  delivered  delivered/created
5682.0000 186 2 0.0108
5712.0000 187 2 0.0107
5742.0000 188 2 0.0106
5772.0000 189 2 0.0106
5775.7000 189 3 0.0159
5802.0000 190 3 0.0158
5833.0000 191 3 0.0157
5863.0000 192 3 0.0156
5893.0000 193 3 0.0155
5923.0000 194 3 0.0155
5953.0000 195 3 0.0154
5983.0000 196 3 0.0153
6014.0000 197 3 0.0152
6044.0000 198 3 0.0152
6075.0000 199 3 0.0151
6106.0000 200 3 0.0150
6136.0000 201 3 0.0149
6167.0000 202 3 0.0149
6198.0000 203 3 0.0148
6210.7000 203 4 0.0197
6228.0000 204 4 0.0196
6259.0000 205 4 0.0195
6290.0000 206 4 0.0194
6320.0000 207 4 0.0193
6350.0000 208 4 0.0192
6381.0000 209 4 0.0191
6412.0000 210 4 0.0190
6443.0000 211 4 0.0190
6474.0000 212 4 0.0189
6505.0000 213 4 0.0188
6536.0000 214 4 0.0187
6536.7000 214 5 0.0234
6540.4000 214 6 0.0280
6567.0000 215 6 0.0279
6587.1000 215 7 0.0326
6598.0000 216 7 0.0324
6628.0000 217 7 0.0323
6658.0000 218 7 0.0321
6689.0000 219 7 0.0320
6720.0000 220 7 0.0318
6739.3000 220 8 0.0364
6750.0000 221 8 0.0362
6780.0000 222 8 0.0360
6811.0000 223 8 0.0359
6841.0000 224 8 0.0357
6871.0000 225 8 0.0356
6892.3000 225 9 0.0400
6902.0000 226 9 0.0398
6932.0000 227 9 0.0396
6962.0000 228 9 0.0395
6993.0000 229 9 0.0393
7024.0000 230 9 0.0391
7055.0000 231 9 0.0390
7086.0000 232 9 0.0388
7116.0000 233 9 0.0386
7122.7000 233 10 0.0429
7147.0000 234 10 0.0427
7178.0000 235 10 0.0426
7193.7000 235 11 0.0468
7208.0000 236 11 0.0466
7238.0000 237 11 0.0464
7268.5000 237 12 0.0506
7269.0000 238 12 0.0504
7299.0000 239 12 0.0502
7314.3000 239 13 0.0544
7329.0000 240 13 0.0542
7359.0000 241 13 0.0539
7359.2000 241 14 0.0581
7389.0000 242 14 0.0579
7395.8000 242 15 0.0620
7419.0000 243 15 0.0617
7445.4000 243 16 0.0658
7450.0000 244 16 0.0656
7467.4000 244 17 0.0697
7480.0000 245 17 0.0694
7511.0000 246 17 0.0691
7541.0000 247 17 0.0688
7572.0000 248 17 0.0685
7603.0000 249 17 0.0683
7634.0000 250 17 0.0680
7644.9000 250 18 0.0720
7662.1000 250 19 0.0760
7665.0000 251 19 0.0757
7667.6000 251 20 0.0797
7679.5000 251 21 0.0837
7696.0000 252 21 0.0833
7727.0000 253 21 0.0830
7750.8000 253 22 0.0870
7758.0000 254 22 0.0866
7788.0000 255 22 0.0863
7818.0000 256 22 0.0859
7848.0000 257 22 0.0856
7878.0000 258 22 0.0853
7908.0000 259 22 0.0849
7939.0000 260 22 0.0846
7970.0000 261 22 0.0843
7996.3000 261 23 0.0881
7998.5000 261 24 0.0920
8001.0000 262 24 0.0916
